start_time,end_time,3,4,5,6,7,8,9,plan_cpu,plan_mem,plan_disk,10
5615948529,,6252020264,20,1436522802,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.0813,0.08301,1.14E-05,0
5615948887,,6251974185,434,903759,4,fJYeclskJqPWsAT6TX/r9X5OiIZpSEb2PBGliYAOMxM=,0,2,0.0813,0.08545,1.14E-05,1
5615949081,,6251974185,914,400453008,4,fJYeclskJqPWsAT6TX/r9X5OiIZpSEb2PBGliYAOMxM=,0,2,0.009369,0.002827,3.05E-05,1
5616659277,,5912313637,16,13495228,2,xiL9h+F9mM1h6slII+dgxaIKQU1EtnLtAvyKViJsC6s=,0,0,0.006248,0.001554,9.54E-06,0
5616659284,,5912313637,16,,0,xiL9h+F9mM1h6slII+dgxaIKQU1EtnLtAvyKViJsC6s=,0,0,0.0813,0.08691,1.14E-05,0
5616659285,,6218406404,1035,13495228,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.1156,0.02097,0.0001059,0
5616659292,,6218406404,1035,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0813,0.08838,1.14E-05,0
5616659294,,6252020264,8,13495228,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.0813,0.08728,1.14E-05,0
5616660406,,6221861800,5716,2643191224,2,huEqgBuTsgIbw1KmYjIUw/N6rUCEeIqRUY51E4M8icU=,0,0,0.0125,0.01553,0.0003767,0
5616660413,,6221861800,5716,,0,huEqgBuTsgIbw1KmYjIUw/N6rUCEeIqRUY51E4M8icU=,0,0,0.006248,0.002331,0.0003862,0
5616660414,,6218406404,1163,2643191224,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0813,0.08459,1.14E-05,0
5616660421,,6218406404,1163,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0625,0.00264,3.82E-06,0
5616660422,,6218406404,1164,2643191224,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0813,0.08215,1.14E-05,0
5616660430,,6218406404,1164,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.00769,0.004662,1.14E-05,0
5616660432,,6252020264,12,2643191224,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.006248,0.004662,3.82E-05,0
5617394740,,6221861800,17261,353713004,2,huEqgBuTsgIbw1KmYjIUw/N6rUCEeIqRUY51E4M8icU=,0,0,0.03125,0.01605,0.0002232,0
5617394747,,6221861800,17261,,0,huEqgBuTsgIbw1KmYjIUw/N6rUCEeIqRUY51E4M8icU=,0,0,0.006248,0.02069,4.29E-05,0
5617394748,,6218406404,1125,353713004,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0813,0.08569,1.14E-05,0
5617394756,,6218406404,1125,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.003124,0.003109,1.91E-05,0
5617394757,,6218406404,1126,353713004,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.01094,0.06201,1.91E-05,0
5617394764,,6218406404,1126,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.125,0.0159,9.54E-06,0
5617394766,,6252020264,10,353713004,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.009369,0.01553,7.53E-05,0
5617395421,,6249834537,124,5782724,2,f7F3iYlP9QqyuUyW8v/H8sCjOf6XEy+lP3bzejIRLK0=,0,0,0.006248,0.002174,7.53E-05,0
5617395432,,6249834537,124,,0,f7F3iYlP9QqyuUyW8v/H8sCjOf6XEy+lP3bzejIRLK0=,0,0,0.006248,0.01553,3.82E-05,0
5617395434,,6252020264,2,5782724,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.006248,0.001865,4.48E-05,0
5618148878,,6251995937,1157,3631250831,2,4Ubmtvv/epOnUEgegvGV9mCxxcZkV4z/Dm8RY/9SEYw=,0,0,0.009369,0.01244,3.05E-05,0
5618148887,,6251995937,1157,,0,4Ubmtvv/epOnUEgegvGV9mCxxcZkV4z/Dm8RY/9SEYw=,0,0,0.006737,0.001972,3.05E-05,0
5618148914,,6251995937,458,317478945,2,4Ubmtvv/epOnUEgegvGV9mCxxcZkV4z/Dm8RY/9SEYw=,0,0,0.009079,0.001972,3.05E-05,0
5618148923,,6251995937,458,,0,4Ubmtvv/epOnUEgegvGV9mCxxcZkV4z/Dm8RY/9SEYw=,0,0,0.006248,0.01244,3.82E-05,0
5618148964,,6251995937,1014,2357745023,2,4Ubmtvv/epOnUEgegvGV9mCxxcZkV4z/Dm8RY/9SEYw=,0,0,0.03748,0.01125,1.91E-06,0
5618148973,,6251995937,1014,,0,4Ubmtvv/epOnUEgegvGV9mCxxcZkV4z/Dm8RY/9SEYw=,0,0,0.03125,0.06335,5.82E-05,0
5618148982,,6252020264,75,2357745023,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0,0.0001554,0,0
5618176802,,6221861800,8846,,0,huEqgBuTsgIbw1KmYjIUw/N6rUCEeIqRUY51E4M8icU=,0,0,0.0813,0.08716,1.14E-05,0
5618176803,,6221861800,15556,317495556,2,huEqgBuTsgIbw1KmYjIUw/N6rUCEeIqRUY51E4M8icU=,0,0,0.05627,0.0318,0.000309,0
5618176810,,6221861800,15556,,0,huEqgBuTsgIbw1KmYjIUw/N6rUCEeIqRUY51E4M8icU=,0,0,0.0813,0.08752,1.14E-05,0
5618176812,,6252020264,19,317495556,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.0813,0.08557,1.14E-05,0
5618176907,,6218406404,1107,351633051,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.009369,0.006218,0.001358,0
5618176914,,6218406404,1107,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0813,0.08325,1.14E-05,0
5618176915,,6218406404,1047,351633051,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0813,0.0863,1.14E-05,0
5618176922,,6218406404,1047,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.006248,0.002331,1.14E-05,0
5618176924,,6252020264,5,351633051,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.0006247,0.003883,2.10E-05,0
5618177052,,6218406404,736,38759121,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0813,0.08911,1.14E-05,0
5618177060,,6218406404,736,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.07495,0.02332,3.82E-05,0
5618177061,,6218406404,1106,38759121,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.03125,0.003109,1.05E-05,0
5618177068,,6218406404,1106,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.01874,0.01398,7.73E-05,0
5618177069,,6218406404,1275,38759121,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.04688,0.0636,3.82E-05,0
5618177076,,6218406404,1275,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0625,0.0256,6.96E-05,0
5618177078,,6252020264,3,38759121,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.0813,0.08411,1.14E-05,0
5618177715,,6218406404,1127,6568416,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.05627,0.0318,7.73E-05,0
5618177722,,6218406404,1127,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0813,0.08398,1.14E-05,0
5618177723,,6218406404,1132,6568416,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.03125,0.01125,3.82E-06,0
5618177730,,6218406404,1132,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0813,0.08362,1.14E-05,0
5618177732,,6252020264,11,6568416,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.0625,0.006218,7.63E-06,0
5618836952,,6238340468,1966,1268902,2,1wRYrkVgrhQf/fNZQV2VHyG306siaFFyZMEM1r1cW2E=,1,0,0.2529,0.03107,7.25E-05,0
5618836960,,6238340468,1966,,0,1wRYrkVgrhQf/fNZQV2VHyG306siaFFyZMEM1r1cW2E=,1,0,0.0625,0.1034,3.82E-05,0
5618836961,,6218406404,354,1268902,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0625,0.002331,3.82E-06,0
5618836968,,6218406404,354,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0625,0.006218,4.48E-05,0
5618836970,,6252020264,33,1268902,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.006248,0.00795,7.63E-06,0
5618837028,,6218406404,1271,38692945,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.006248,0.002796,4.48E-05,0
5618837035,,6218406404,1271,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0125,0.0001554,3.82E-06,0
5618837036,,6218406404,1235,38692945,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0625,0.0318,3.82E-05,0
5618837044,,6218406404,1235,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.03125,0.0159,3.82E-05,0
5618837046,,6252020264,0,38692945,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.0625,0.04773,0.0001154,0
5619528181,,6218406404,1146,2107285354,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.006248,0.04773,3.82E-05,0
5619528188,,6218406404,1146,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0125,0.006416,3.05E-05,0
5619528189,,6218406404,1143,2107285354,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.03125,0.02795,0.0001926,0
5619528196,,6218406404,1143,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0125,0.006447,3.05E-05,0
5619528198,,6252020264,30,2107285354,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.006248,0.008392,1.91E-05,0
5619528561,,6218406404,1138,5771783,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.09998,0.02069,3.82E-05,0
5619528568,,6218406404,1138,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.006248,0.007164,1.91E-05,0
5619528569,,6218406404,1135,5771783,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.03125,0.0318,1.91E-05,0
5619528577,,6218406404,1135,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.009369,0.0318,1.91E-05,0
5619528579,,6252020264,4,5771783,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.006248,0.0318,3.82E-05,0
5620274610,,6251974185,776,660405,4,fJYeclskJqPWsAT6TX/r9X5OiIZpSEb2PBGliYAOMxM=,0,2,0.006248,0.001972,7.53E-05,1
5620274752,,6252007148,0,1697637,4,AL1ptJgzhEaoLf97k5xU6Uc2VO0yUaPQd/feJ5LMWhA=,0,8,0.0625,0.0636,3.82E-05,0
5620274899,,6221861800,15118,317468397,2,huEqgBuTsgIbw1KmYjIUw/N6rUCEeIqRUY51E4M8icU=,0,0,0.006248,0.0318,4.48E-05,0
5620274906,,6221861800,15118,,0,huEqgBuTsgIbw1KmYjIUw/N6rUCEeIqRUY51E4M8icU=,0,0,0.02499,0.02545,0.0003862,0
5620274907,,6218406404,1062,317468397,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.006248,0.001554,3.82E-06,0
5620274914,,6218406404,1062,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.03125,0.004044,9.54E-06,0
5620274915,,6218406404,1118,317468397,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0625,0.03979,3.82E-05,0
5620274922,,6218406404,1118,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.02499,0.0318,1.91E-05,0
5620274924,,6252020264,17,317468397,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.0125,0.0159,1.05E-05,0
5621046251,,6124898063,0,49,1,mbrS6V2tRbksMPO0y8EI9B9XT2ASaPRTNndslCGN/2A=,1,9,0.0125,0.003975,9.54E-06,0
5621046312,,6251995937,1116,1320018,2,4Ubmtvv/epOnUEgegvGV9mCxxcZkV4z/Dm8RY/9SEYw=,0,0,0.0625,0.0318,0.0001926,0
5621046321,,6251995937,1116,,0,4Ubmtvv/epOnUEgegvGV9mCxxcZkV4z/Dm8RY/9SEYw=,0,0,0.1875,0.05316,0.000308,0
5621046330,,6252020264,82,1320018,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.006248,0.0318,3.82E-06,0
5621046391,,4392480606,211,612770260,5,XXdY557FQk791swgplLkVfyX7Vr1lIHuSKR+pnbZWR8=,2,0,0.0125,0.01166,1.53E-05,1
5621046394,,4392480606,211,,0,XXdY557FQk791swgplLkVfyX7Vr1lIHuSKR+pnbZWR8=,2,0,0.01059,0.007767,2.86E-05,1
5621046403,,6251995937,761,612770260,2,4Ubmtvv/epOnUEgegvGV9mCxxcZkV4z/Dm8RY/9SEYw=,0,0,0.03125,0.006187,2.86E-05,0
5621046412,,6251995937,761,,0,4Ubmtvv/epOnUEgegvGV9mCxxcZkV4z/Dm8RY/9SEYw=,0,0,0.006248,0.01166,3.82E-05,0
5621046444,,5950955866,173,30789456,5,5ANFyIGysAA6XzeFuFUqyXdJfrrczugfoYfXCP0FNk8=,2,0,0.009033,0.001972,3.05E-05,1
5621046447,,5950955866,173,,0,5ANFyIGysAA6XzeFuFUqyXdJfrrczugfoYfXCP0FNk8=,2,0,0.0625,0.01244,1.53E-05,1
5621046480,,4392480606,171,284786939,5,XXdY557FQk791swgplLkVfyX7Vr1lIHuSKR+pnbZWR8=,2,0,0.009369,0.01553,1.14E-05,1
5621046483,,4392480606,171,,0,XXdY557FQk791swgplLkVfyX7Vr1lIHuSKR+pnbZWR8=,2,0,0.01874,0.003109,2.67E-05,1
5621046492,,6251995937,481,284786939,2,4Ubmtvv/epOnUEgegvGV9mCxxcZkV4z/Dm8RY/9SEYw=,0,0,0.009369,0.001972,7.63E-06,0
5621046501,,6251995937,481,,0,4Ubmtvv/epOnUEgegvGV9mCxxcZkV4z/Dm8RY/9SEYw=,0,0,0.09375,0.03198,6.96E-05,0
5621046535,,4392480606,209,8746543,5,XXdY557FQk791swgplLkVfyX7Vr1lIHuSKR+pnbZWR8=,2,0,0.0625,0.06213,0.000452,1
5621046538,,4392480606,209,,0,XXdY557FQk791swgplLkVfyX7Vr1lIHuSKR+pnbZWR8=,2,0,0.03125,0.01224,9.54E-07,1
5621081269,,515042969,3,,5,/fk1fVcVxZ6iM6gHZzqbIyq56m5zrmHfpdcZ/zzkq4c=,2,0,0.03125,0.009323,0.0001545,0
5621081272,,515042969,3,,0,/fk1fVcVxZ6iM6gHZzqbIyq56m5zrmHfpdcZ/zzkq4c=,2,0,0,0,0,0
5621081591,,6218406404,1090,587674111,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0625,0.1184,0.001158,0
5621081598,,6218406404,1090,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.03125,0.08728,0.0003662,0
5621081599,,6218406404,1098,587674111,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.07812,0.04773,0.0003862,0
5621081607,,6218406404,1098,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0006247,1.53E-05,3.82E-06,0
5621081609,,6252020264,1,587674111,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.01256,0.1335,6.39E-05,0
5621081635,,6218406404,1122,284755576,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0625,0.01244,1.91E-05,0
5621081643,,6218406404,1122,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.02188,0.0159,0.0001736,0
5621081644,,6218406404,1055,284755576,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.05109,0.03906,0.00193,0
5621081651,,6218406404,1055,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.5,0.0636,0.0001545,0
5621081653,,6252020264,14,284755576,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.006248,0.0008545,9.54E-06,0
5621081727,,6238340468,2133,6565198,2,1wRYrkVgrhQf/fNZQV2VHyG306siaFFyZMEM1r1cW2E=,1,0,0.03125,0.00795,3.82E-05,0
5621081735,,6238340468,2133,,0,1wRYrkVgrhQf/fNZQV2VHyG306siaFFyZMEM1r1cW2E=,1,0,0.125,0.1541,0.0007792,0
5621081736,,6218406404,1011,6565198,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.006248,0.004662,4.77E-06,0
5621081744,,6218406404,1011,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.006248,0.00795,3.82E-06,0
5621081745,,6218406404,937,6565198,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0125,0.006401,3.05E-05,0
5621081752,,6218406404,937,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.008972,0.001972,3.05E-05,0
5621081754,,6252020264,47,6565198,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.05627,0.02145,1.24E-05,0
5621725305,,6218406404,1108,16916378,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.01312,0.004662,3.82E-05,0
5621725312,,6218406404,1108,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.006248,0.002392,3.82E-05,0
5621725313,,6218406404,1048,16916378,2,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.125,0.0636,1.53E-05,0
5621725321,,6218406404,1048,,0,wh0wq4ZDHzpCBUUq/FeWZ+IrfivM0YMFAGZO3zHdrWc=,2,0,0.0625,0.004662,7.63E-06,0
5621725323,,6252020264,9,16916378,1,5Pg2spXTK2Hddu4PGpejoMD7eYEAYskA26VtVgGshvs=,3,9,0.006248,0.003109,9.54E-06,0
5621725519,,6238340468,2722,4476068249,2,1wRYrkVgrhQf/fNZQV2VHyG306siaFFyZMEM1r1cW2E=,1,0,0.006248,0.001554,9.54E-07,0
